Strain Identifier	Strain name	Evolution Experiment?	Parental Strain	Alternative Strain Name	Full Strain Name After Genome Analysis	ENA Accession	Alternative Genome Source	Reference (PMID)	Isolation origin	Year	Phenotype	German BSL level	Notes
NT12857	10957	1	NT12705		Escherichia coli NT12857	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12858	10982	1	NT12705		Escherichia coli NT12858	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12859	10983	1	NT12705		Escherichia coli NT12859	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12860	10985	1	NT12705		Escherichia coli NT12860	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12861	10986	1	NT12705		Escherichia coli NT12861	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12862	11330	1	NT12704		Escherichia coli NT12862	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12863	11331	1	NT12704		Escherichia coli NT12863	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12864	11333	1	NT12704		Escherichia coli NT12864	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12865	11335	1	NT12704		Escherichia coli NT12865	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12866	11364	1	NT12704		Escherichia coli NT12866	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12867	11365	1	NT12704		Escherichia coli NT12867	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12868	11336	1	NT12704		Escherichia coli NT12868	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12869	11337	1	NT12704		Escherichia coli NT12869	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12870	11339	1	NT12704		Escherichia coli NT12870	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12871	11340	1	NT12704		Escherichia coli NT12871	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12872	11389	1	NT12704		Escherichia coli NT12872	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12873	11390	1	NT12704		Escherichia coli NT12873	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12874	11392	1	NT12705		Escherichia coli NT12874	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12875	11393	1	NT12705		Escherichia coli NT12875	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12876	11342	1	NT12705		Escherichia coli NT12876	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12877	11343	1	NT12705		Escherichia coli NT12877	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12878	11345	1	NT12705		Escherichia coli NT12878	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12879	11346	1	NT12705		Escherichia coli NT12879	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12880	11348	1	NT12705		Escherichia coli NT12880	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12881	11349	1	NT12705		Escherichia coli NT12881	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12882	11367	1	NT12705		Escherichia coli NT12882	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12883	11368	1	NT12705		Escherichia coli NT12883	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12884	11370	1	NT12705		Escherichia coli NT12884	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12885	11371	1	NT12705		Escherichia coli NT12885	PRJNA294072		27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12886	11691	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12887	11692	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12888	11694	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12889	11695	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12890	11725	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12891	11726	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12892	11697	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12893	11698	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12894	11700	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12895	11701	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12896	11771	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12897	11772	1	NT12704					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12898	11774	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12899	11775	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12900	11703	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12901	11704	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12902	11706	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12903	11707	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12904	11709	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12905	11710	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12906	11728	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12907	11729	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12908	11731	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
NT12909	11732	1	NT12705					27479321;22992527;22207905;21415350;19838166;19776167	Evolution experiment		Evolution experiment	1	
